05_V_A_Ang,05_V_A_Mag,05_V_B_Ang,05_V_B_Mag,05_V_C_Ang,05_V_C_Mag,05_V_D_Ang,05_V_D_Mag
-0.40371,1.27E+05,-0.40371,1.27E+05,-0.40371,1.27E+05,-0.40371,1.27E+05
-0.40229,1.27E+05,-0.40229,1.27E+05,-0.40229,1.27E+05,-0.40229,1.27E+05
-0.40107,1.27E+05,-0.40107,1.27E+05,-0.40107,1.27E+05,-0.40107,1.27E+05
-0.40006,1.27E+05,-0.40006,1.27E+05,-0.40006,1.27E+05,-0.40006,1.27E+05
-0.39902,1.27E+05,-0.39902,1.27E+05,-0.39902,1.27E+05,-0.39902,1.27E+05
-0.39789,1.27E+05,-0.39789,1.27E+05,-0.39789,1.27E+05,-0.39789,1.27E+05
-0.39665,1.27E+05,-0.39665,1.27E+05,-0.39665,1.27E+05,-0.39665,1.27E+05
-0.39534,1.27E+05,-0.39534,1.27E+05,-0.39534,1.27E+05,-0.39534,1.27E+05
-0.39409,1.27E+05,-0.39409,1.27E+05,-0.39409,1.27E+05,-0.39409,1.27E+05
-0.39285,1.27E+05,-0.39285,1.27E+05,-0.39285,1.27E+05,-0.39285,1.27E+05
-0.39166,1.27E+05,-0.39166,1.27E+05,-0.39166,1.27E+05,-0.39166,1.27E+05
-0.39047,1.27E+05,-0.39047,1.27E+05,-0.39047,1.27E+05,-0.39047,1.27E+05
-0.3893,1.27E+05,-0.3893,1.27E+05,-0.3893,1.27E+05,-0.3893,1.27E+05
-0.38812,1.27E+05,-0.38812,1.27E+05,-0.38812,1.27E+05,-0.38812,1.27E+05
-0.3869,1.27E+05,-0.3869,1.27E+05,-0.3869,1.27E+05,-0.3869,1.27E+05
-0.38574,1.27E+05,-0.38574,1.27E+05,-0.38574,1.27E+05,-0.38574,1.27E+05
-0.38459,1.27E+05,-0.38459,1.27E+05,-0.38459,1.27E+05,-0.38459,1.27E+05
-0.38339,1.27E+05,-0.38339,1.27E+05,-0.38339,1.27E+05,-0.38339,1.27E+05
-0.38215,1.27E+05,-0.38215,1.27E+05,-0.38215,1.27E+05,-0.38215,1.27E+05
-0.38077,1.27E+05,-0.38077,1.27E+05,-0.38077,1.27E+05,-0.38077,1.27E+05
-0.37927,1.27E+05,-0.37927,1.27E+05,-0.37927,1.27E+05,-0.37927,1.27E+05
-0.37794,1.27E+05,-0.37794,1.27E+05,-0.37794,1.27E+05,-0.37794,1.27E+05
-0.37683,1.27E+05,-0.37683,1.27E+05,-0.37683,1.27E+05,-0.37683,1.27E+05
-0.37588,1.27E+05,-0.37588,1.27E+05,-0.37588,1.27E+05,-0.37588,1.27E+05
-0.37504,1.27E+05,-0.37504,1.27E+05,-0.37504,1.27E+05,-0.37504,1.27E+05
-0.37396,1.27E+05,-0.37396,1.27E+05,-0.37396,1.27E+05,-0.37396,1.27E+05
-0.37259,1.27E+05,-0.37259,1.27E+05,-0.37259,1.27E+05,-0.37259,1.27E+05
-0.37113,1.27E+05,-0.37113,1.27E+05,-0.37113,1.27E+05,-0.37113,1.27E+05
-0.36969,1.27E+05,-0.36969,1.27E+05,-0.36969,1.27E+05,-0.36969,1.27E+05
-0.36846,1.27E+05,-0.36846,1.27E+05,-0.36846,1.27E+05,-0.36846,1.27E+05
-0.3674,1.27E+05,-0.3674,1.27E+05,-0.3674,1.27E+05,-0.3674,1.27E+05
-0.36627,1.27E+05,-0.36627,1.27E+05,-0.36627,1.27E+05,-0.36627,1.27E+05
-0.36503,1.27E+05,-0.36503,1.27E+05,-0.36503,1.27E+05,-0.36503,1.27E+05
-0.3637,1.27E+05,-0.3637,1.27E+05,-0.3637,1.27E+05,-0.3637,1.27E+05
-0.36245,1.27E+05,-0.36245,1.27E+05,-0.36245,1.27E+05,-0.36245,1.27E+05
-0.36022,1.27E+05,-0.36022,1.27E+05,-0.36022,1.27E+05,-0.36022,1.27E+05
-0.35898,1.27E+05,-0.35898,1.27E+05,-0.35898,1.27E+05,-0.35898,1.27E+05
-0.3575,1.27E+05,-0.3575,1.27E+05,-0.3575,1.27E+05,-0.3575,1.27E+05
-0.35592,1.27E+05,-0.35592,1.27E+05,-0.35592,1.27E+05,-0.35592,1.27E+05
-0.3545,1.27E+05,-0.3545,1.27E+05,-0.3545,1.27E+05,-0.3545,1.27E+05
-0.35327,1.27E+05,-0.35327,1.27E+05,-0.35327,1.27E+05,-0.35327,1.27E+05
-0.3522,1.27E+05,-0.3522,1.27E+05,-0.3522,1.27E+05,-0.3522,1.27E+05
-0.35114,1.27E+05,-0.35114,1.27E+05,-0.35114,1.27E+05,-0.35114,1.27E+05
-0.35001,1.27E+05,-0.35001,1.27E+05,-0.35001,1.27E+05,-0.35001,1.27E+05
-0.34884,1.27E+05,-0.34884,1.27E+05,-0.34884,1.27E+05,-0.34884,1.27E+05
-0.34769,1.27E+05,-0.34769,1.27E+05,-0.34769,1.27E+05,-0.34769,1.27E+05
-0.34653,1.27E+05,-0.34653,1.27E+05,-0.34653,1.27E+05,-0.34653,1.27E+05
-0.34529,1.27E+05,-0.34529,1.27E+05,-0.34529,1.27E+05,-0.34529,1.27E+05
-0.34403,1.27E+05,-0.34403,1.27E+05,-0.34403,1.27E+05,-0.34403,1.27E+05
-0.3427,1.27E+05,-0.3427,1.27E+05,-0.3427,1.27E+05,-0.3427,1.27E+05
-0.34146,1.27E+05,-0.34146,1.27E+05,-0.34146,1.27E+05,-0.34146,1.27E+05
-0.3404,1.27E+05,-0.3404,1.27E+05,-0.3404,1.27E+05,-0.3404,1.27E+05
-0.33934,1.27E+05,-0.33934,1.27E+05,-0.33934,1.27E+05,-0.33934,1.27E+05
-0.33827,1.27E+05,-0.33827,1.27E+05,-0.33827,1.27E+05,-0.33827,1.27E+05
-0.33711,1.27E+05,-0.33711,1.27E+05,-0.33711,1.27E+05,-0.33711,1.27E+05
-0.33583,1.27E+05,-0.33583,1.27E+05,-0.33583,1.27E+05,-0.33583,1.27E+05
-0.33453,1.27E+05,-0.33453,1.27E+05,-0.33453,1.27E+05,-0.33453,1.27E+05
-0.3333,1.27E+05,-0.3333,1.27E+05,-0.3333,1.27E+05,-0.3333,1.27E+05
-0.33209,1.27E+05,-0.33209,1.27E+05,-0.33209,1.27E+05,-0.33209,1.27E+05
-0.33088,1.27E+05,-0.33088,1.27E+05,-0.33088,1.27E+05,-0.33088,1.27E+05
-0.32971,1.27E+05,-0.32971,1.27E+05,-0.32971,1.27E+05,-0.32971,1.27E+05
-0.32851,1.27E+05,-0.32851,1.27E+05,-0.32851,1.27E+05,-0.32851,1.27E+05
-0.32732,1.27E+05,-0.32732,1.27E+05,-0.32732,1.27E+05,-0.32732,1.27E+05
-0.32622,1.27E+05,-0.32622,1.27E+05,-0.32622,1.27E+05,-0.32622,1.27E+05
-0.32516,1.27E+05,-0.32516,1.27E+05,-0.32516,1.27E+05,-0.32516,1.27E+05
-0.32405,1.27E+05,-0.32405,1.27E+05,-0.32405,1.27E+05,-0.32405,1.27E+05
-0.32279,1.27E+05,-0.32279,1.27E+05,-0.32279,1.27E+05,-0.32279,1.27E+05
-0.32136,1.27E+05,-0.32136,1.27E+05,-0.32136,1.27E+05,-0.32136,1.27E+05
-0.31987,1.27E+05,-0.31987,1.27E+05,-0.31987,1.27E+05,-0.31987,1.27E+05
-0.31851,1.27E+05,-0.31851,1.27E+05,-0.31851,1.27E+05,-0.31851,1.27E+05
-0.31743,1.27E+05,-0.31743,1.27E+05,-0.31743,1.27E+05,-0.31743,1.27E+05
