-0.3116,1.2698e+05,-0.3116,1.2698e+05,-0.3116,1.2698e+05,-0.3116,1.2698e+05
-0.31025,1.2697e+05,-0.31025,1.2697e+05,-0.31025,1.2697e+05,-0.31025,1.2697e+05
-0.30901,1.2695e+05,-0.30901,1.2695e+05,-0.30901,1.2695e+05,-0.30901,1.2695e+05
-0.30794,1.2693e+05,-0.30794,1.2693e+05,-0.30794,1.2693e+05,-0.30794,1.2693e+05
-0.30697,1.2691e+05,-0.30697,1.2691e+05,-0.30697,1.2691e+05,-0.30697,1.2691e+05
-0.30595,1.2691e+05,-0.30595,1.2691e+05,-0.30595,1.2691e+05,-0.30595,1.2691e+05
-0.30479,1.2692e+05,-0.30479,1.2692e+05,-0.30479,1.2692e+05,-0.30479,1.2692e+05
-0.30352,1.2692e+05,-0.30352,1.2692e+05,-0.30352,1.2692e+05,-0.30352,1.2692e+05
-0.30223,1.2691e+05,-0.30223,1.2691e+05,-0.30223,1.2691e+05,-0.30223,1.2691e+05
-0.30104,1.2689e+05,-0.30104,1.2689e+05,-0.30104,1.2689e+05,-0.30104,1.2689e+05
-0.30001,1.2687e+05,-0.30001,1.2687e+05,-0.30001,1.2687e+05,-0.30001,1.2687e+05
-0.29893,1.2687e+05,-0.29893,1.2687e+05,-0.29893,1.2687e+05,-0.29893,1.2687e+05
-0.29776,1.2687e+05,-0.29776,1.2687e+05,-0.29776,1.2687e+05,-0.29776,1.2687e+05
-0.2965,1.2688e+05,-0.2965,1.2688e+05,-0.2965,1.2688e+05,-0.2965,1.2688e+05
-0.29515,1.2687e+05,-0.29515,1.2687e+05,-0.29515,1.2687e+05,-0.29515,1.2687e+05
-0.29397,1.2684e+05,-0.29397,1.2684e+05,-0.29397,1.2684e+05,-0.29397,1.2684e+05
-0.29291,1.2683e+05,-0.29291,1.2683e+05,-0.29291,1.2683e+05,-0.29291,1.2683e+05
-0.29186,1.2682e+05,-0.29186,1.2682e+05,-0.29186,1.2682e+05,-0.29186,1.2682e+05
-0.29078,1.2682e+05,-0.29078,1.2682e+05,-0.29078,1.2682e+05,-0.29078,1.2682e+05
-0.28956,1.2683e+05,-0.28956,1.2683e+05,-0.28956,1.2683e+05,-0.28956,1.2683e+05
-0.28828,1.2684e+05,-0.28828,1.2684e+05,-0.28828,1.2684e+05,-0.28828,1.2684e+05
-0.287,1.2686e+05,-0.287,1.2686e+05,-0.287,1.2686e+05,-0.287,1.2686e+05
-0.28571,1.2688e+05,-0.28571,1.2688e+05,-0.28571,1.2688e+05,-0.28571,1.2688e+05
-0.28437,1.2689e+05,-0.28437,1.2689e+05,-0.28437,1.2689e+05,-0.28437,1.2689e+05
-0.28303,1.269e+05,-0.28303,1.269e+05,-0.28303,1.269e+05,-0.28303,1.269e+05
-0.28172,1.269e+05,-0.28172,1.269e+05,-0.28172,1.269e+05,-0.28172,1.269e+05
-0.28046,1.2689e+05,-0.28046,1.2689e+05,-0.28046,1.2689e+05,-0.28046,1.2689e+05
-0.27931,1.2689e+05,-0.27931,1.2689e+05,-0.27931,1.2689e+05,-0.27931,1.2689e+05
-0.27816,1.2689e+05,-0.27816,1.2689e+05,-0.27816,1.2689e+05,-0.27816,1.2689e+05
-0.27696,1.269e+05,-0.27696,1.269e+05,-0.27696,1.269e+05,-0.27696,1.269e+05
-0.27573,1.269e+05,-0.27573,1.269e+05,-0.27573,1.269e+05,-0.27573,1.269e+05
-0.27444,1.269e+05,-0.27444,1.269e+05,-0.27444,1.269e+05,-0.27444,1.269e+05
-0.2731,1.269e+05,-0.2731,1.269e+05,-0.2731,1.269e+05,-0.2731,1.269e+05
